Node_A,Node_B,Node_C,M_abc,Abs_M_abc
VI,VAs,VAs,-8.84326483980341,8.84326483980341
VI,VI,VI,-8.06328255156988,8.06328255156988
Mot,VI,VAs,6.59998187003398,6.59998187003398
VI,VI,VAs,5.73294712465133,5.73294712465133
DMN,DMN,DMN,-4.50461429931896,4.50461429931896
VAs,VAs,VAs,4.38194277544333,4.38194277544333
Mot,VAs,VAs,-3.94710211430993,3.94710211430993
FP,VI,VAs,3.77175968792733,3.77175968792733
DMN,VI,VAs,3.74814737560461,3.74814737560461
Mot,VI,VI,-3.56448762011244,3.56448762011244
MF,VI,VI,-3.49426922349896,3.49426922349896
Mot,Mot,VAs,3.44252958617733,3.44252958617733
VI,VAs,CBL,3.43643739565866,3.43643739565866
MF,VAs,VAs,-3.36915734705604,3.36915734705604
MF,VI,VAs,3.3088623542166,3.3088623542166
FP,VI,VI,-2.99350197996566,2.99350197996566
VAs,VAs,CBL,-2.95015690369965,2.95015690369965
DMN,VI,VI,-2.87866673756983,2.87866673756983
FP,VAs,VAs,-2.80106465644756,2.80106465644756
DMN,VAs,VAs,-2.76363894709142,2.76363894709142
VAs,VAs,SAL,-2.6835055815443,2.6835055815443
MF,Mot,VAs,2.61585946831749,2.61585946831749
MF,Mot,VI,-2.52852089016618,2.52852089016618
Mot,Mot,VI,-2.48731990690767,2.48731990690767
DMN,Mot,VI,-2.46889653751868,2.46889653751868
Mot,VAs,CBL,2.45406508271707,2.45406508271707
FP,Mot,VI,-2.40673385615299,2.40673385615299
VI,VI,CBL,-2.36443938830571,2.36443938830571
DMN,Mot,VAs,2.34161216754688,2.34161216754688
FP,Mot,VAs,2.29787527404581,2.29787527404581
Mot,Mot,SAL,2.2967468297106,2.2967468297106
VI,VAs,SAL,2.15168682432081,2.15168682432081
DMN,DMN,VAs,2.12592910084027,2.12592910084027
Mot,VAs,SAL,2.09024275091522,2.09024275091522
MF,Mot,Mot,-2.03829590878795,2.03829590878795
Mot,Mot,CBL,1.99603208743252,1.99603208743252
DMN,DMN,SC,-1.96120170487951,1.96120170487951
Mot,Mot,Mot,1.91012229164959,1.91012229164959
Mot,SAL,SAL,1.86911847929183,1.86911847929183
VAs,VAs,SC,-1.8667086126505,1.8667086126505
VI,VI,SAL,-1.84696216144496,1.84696216144496
DMN,DMN,Mot,-1.79099249486417,1.79099249486417
VI,VII,VAs,1.74820248540497,1.74820248540497
MF,MF,VI,-1.74017354221387,1.74017354221387
FP,DMN,VI,-1.65230494615531,1.65230494615531
MF,DMN,VAs,1.63404398025903,1.63404398025903
FP,FP,VI,-1.63065028622752,1.63065028622752
MF,FP,VI,-1.62832046367997,1.62832046367997
MF,FP,VAs,1.59565490034997,1.59565490034997
MF,MF,VAs,1.57491034080385,1.57491034080385
VI,VAs,SC,1.5731642393087,1.5731642393087
DMN,VAs,CBL,1.57275488780247,1.57275488780247
MF,DMN,VI,-1.56392406235495,1.56392406235495
MF,VAs,CBL,1.5585347036037,1.5585347036037
FP,FP,VAs,1.55096124152486,1.55096124152486
MF,MF,Mot,-1.53181308364847,1.53181308364847
DMN,DMN,VI,-1.51252862298933,1.51252862298933
Mot,VAs,SC,1.50827307953558,1.50827307953558
VII,VAs,VAs,-1.50107256673364,1.50107256673364
VAs,CBL,CBL,1.48728658574877,1.48728658574877
FP,VAs,CBL,1.48169843214095,1.48169843214095
