Node_A,Node_B,Node_C,M_abc,Abs_M_abc
DMN,DMN,DMN,2.95530018649103,2.95530018649103
MF,DMN,DMN,2.19436319125249,2.19436319125249
FP,Mot,Mot,1.70874626160003,1.70874626160003
MF,MF,DMN,1.60190143785978,1.60190143785978
DMN,DMN,SC,1.56779444691014,1.56779444691014
MF,DMN,SC,1.21983416665287,1.21983416665287
DMN,DMN,CBL,1.16343647500737,1.16343647500737
FP,FP,DMN,1.15075878241487,1.15075878241487
FP,DMN,DMN,-1.14639933909602,1.14639933909602
Mot,Mot,CBL,1.13107018500973,1.13107018500973
Mot,Mot,Mot,1.12797131944013,1.12797131944013
MF,MF,MF,1.12325804486039,1.12325804486039
FP,FP,Mot,1.09147367970092,1.09147367970092
FP,Mot,VII,-1.06813325546113,1.06813325546113
DMN,DMN,Mot,0.987773219779806,0.987773219779806
MF,FP,Mot,0.961861149331034,0.961861149331034
MF,MF,SC,0.900726833957716,0.900726833957716
MF,DMN,CBL,0.885528357946982,0.885528357946982
FP,FP,CBL,0.881468150884905,0.881468150884905
DMN,SC,SC,0.859662487382962,0.859662487382962
MF,DMN,Mot,0.857358021777598,0.857358021777598
MF,FP,FP,0.805410154500684,0.805410154500684
DMN,Mot,Mot,0.784042794083291,0.784042794083291
DMN,DMN,VAs,-0.782278452223144,0.782278452223144
MF,MF,CBL,0.775281373122816,0.775281373122816
MF,MF,Mot,0.765650526963861,0.765650526963861
MF,FP,DMN,-0.746517462950471,0.746517462950471
FP,FP,SC,0.734385537406292,0.734385537406292
FP,Mot,SC,0.682105919976246,0.682105919976246
DMN,Mot,SC,0.65531385250728,0.65531385250728
FP,Mot,VAs,-0.655239079174629,0.655239079174629
DMN,SC,CBL,0.63987820202939,0.63987820202939
MF,Mot,Mot,0.623705105629587,0.623705105629587
DMN,DMN,VII,0.620017886370068,0.620017886370068
FP,DMN,VII,-0.611950280645177,0.611950280645177
MF,SC,SC,0.607694124970952,0.607694124970952
FP,Mot,SAL,0.589079613726767,0.589079613726767
FP,VII,SC,-0.584947424163932,0.584947424163932
MF,DMN,VAs,-0.576452222630293,0.576452222630293
DMN,DMN,VI,-0.574294754520342,0.574294754520342
MF,FP,VII,-0.573576367525034,0.573576367525034
MF,Mot,CBL,0.545290361832492,0.545290361832492
MF,SC,CBL,0.534611723110493,0.534611723110493
MF,FP,SAL,0.508786629827256,0.508786629827256
FP,DMN,Mot,0.504575850364116,0.504575850364116
Mot,Mot,VI,-0.499667653192586,0.499667653192586
FP,VII,CBL,-0.497653466131981,0.497653466131981
Mot,SC,CBL,0.483831739490716,0.483831739490716
DMN,VAs,SC,-0.460087374093243,0.460087374093243
Mot,CBL,CBL,0.45011449103544,0.45011449103544
MF,DMN,VII,0.449029684848958,0.449029684848958
FP,Mot,CBL,0.43917486606299,0.43917486606299
SC,SC,CBL,0.431977469356436,0.431977469356436
DMN,Mot,CBL,0.430954902256515,0.430954902256515
Mot,VII,VII,0.42775895626711,0.42775895626711
MF,Mot,SC,0.41892448840956,0.41892448840956
DMN,CBL,CBL,0.416603414697345,0.416603414697345
Mot,VII,CBL,-0.410338884739009,0.410338884739009
Mot,Mot,VII,-0.399409316347236,0.399409316347236
VII,VII,CBL,0.395099285199271,0.395099285199271
FP,DMN,SC,-0.39503168315809,0.39503168315809
MF,MF,FP,-0.391156354085666,0.391156354085666
FP,DMN,SAL,0.388571064614687,0.388571064614687
SC,SC,SC,0.385116852539424,0.385116852539424
DMN,Mot,VAs,-0.384525743868742,0.384525743868742
MF,MF,VAs,-0.370756239010792,0.370756239010792
MF,CBL,CBL,0.359647113394381,0.359647113394381
Mot,SAL,CBL,0.357222182553891,0.357222182553891
MF,MF,VII,0.341738133215513,0.341738133215513
MF,VAs,CBL,-0.337327383541951,0.337327383541951
DMN,VAs,CBL,-0.335797603202659,0.335797603202659
MF,DMN,VI,-0.328160689606902,0.328160689606902
FP,SAL,SC,0.32729026822265,0.32729026822265
MF,Mot,VII,-0.326536404015425,0.326536404015425
Mot,VAs,CBL,-0.318257190410064,0.318257190410064
Mot,Mot,SC,0.317242169938651,0.317242169938651
Mot,VI,VII,0.307502047961995,0.307502047961995
FP,VII,SAL,-0.300257863292833,0.300257863292833
FP,VII,VAs,0.298027295916354,0.298027295916354
DMN,VI,SC,-0.296182374556249,0.296182374556249
MF,VAs,SC,-0.295126872432222,0.295126872432222
FP,VAs,SAL,-0.292930350069449,0.292930350069449
CBL,CBL,CBL,0.292641327971682,0.292641327971682
Mot,Mot,SAL,0.282900388961349,0.282900388961349
SC,CBL,CBL,0.28191500086827,0.28191500086827
DMN,VII,VII,0.281088348986378,0.281088348986378
MF,Mot,VAs,-0.268622607648171,0.268622607648171
Mot,VI,SAL,-0.267193189144882,0.267193189144882
FP,FP,VI,-0.261287259677236,0.261287259677236
FP,DMN,VI,0.25997774484161,0.25997774484161
Mot,SC,SC,0.258033999486742,0.258033999486742
MF,MF,VI,-0.250754666683498,0.250754666683498
DMN,VI,VII,-0.246071989082242,0.246071989082242
FP,FP,VAs,-0.244192299826361,0.244192299826361
VAs,SC,CBL,-0.238218477971095,0.238218477971095
VI,VII,SAL,0.23580158726288,0.23580158726288
DMN,Mot,VII,-0.229204436093246,0.229204436093246
VI,VII,VII,-0.22802293838072,0.22802293838072
MF,VI,SC,-0.222965139238218,0.222965139238218
DMN,DMN,SAL,-0.219423802856496,0.219423802856496
VI,SAL,SAL,-0.218087789409392,0.218087789409392
DMN,VAs,VAs,0.214700494422087,0.214700494422087
VII,SAL,CBL,-0.212333699330568,0.212333699330568
MF,VII,VII,0.208756822002085,0.208756822002085
FP,SAL,CBL,0.208740975221304,0.208740975221304
FP,DMN,VAs,0.208301704315477,0.208301704315477
VI,SC,SC,-0.206460282159761,0.206460282159761
MF,VII,SAL,-0.199366447397818,0.199366447397818
MF,Mot,VI,-0.196819634318265,0.196819634318265
DMN,VI,SAL,0.195493970172666,0.195493970172666
DMN,VII,SC,0.194562289786423,0.194562289786423
SAL,SAL,CBL,0.192576654414065,0.192576654414065
FP,SAL,SAL,0.189039002443434,0.189039002443434
Mot,VI,VAs,0.172084726809645,0.172084726809645
VAs,VAs,CBL,0.169533049272914,0.169533049272914
Mot,SAL,SAL,0.167183399923651,0.167183399923651
VAs,SC,SC,-0.164829410858087,0.164829410858087
MF,FP,VI,0.162364924030892,0.162364924030892
Mot,VII,SAL,-0.160657653698121,0.160657653698121
MF,DMN,SAL,-0.160319914201452,0.160319914201452
VII,VII,SC,0.157764592413567,0.157764592413567
MF,VII,SC,0.157430946246579,0.157430946246579
FP,FP,SAL,0.154888312629166,0.154888312629166
VII,VII,SAL,0.151045244646558,0.151045244646558
DMN,VII,SAL,-0.150111902025497,0.150111902025497
VI,VI,VI,-0.149996471912336,0.149996471912336
VAs,CBL,CBL,-0.146322717906273,0.146322717906273
FP,VI,SC,0.142098985608108,0.142098985608108
SAL,SAL,SAL,0.14169081026724,0.14169081026724
MF,VII,VAs,-0.140994795274001,0.140994795274001
FP,FP,VII,0.135983087073114,0.135983087073114
VII,SC,SC,0.135947837685756,0.135947837685756
FP,CBL,CBL,0.132877086713581,0.132877086713581
DMN,VII,VAs,-0.131074154873372,0.131074154873372
FP,VI,SAL,-0.130992932700043,0.130992932700043
FP,VI,VII,0.129269588527291,0.129269588527291
Mot,VI,VI,0.123455360701693,0.123455360701693
VI,VI,SAL,0.123401571881562,0.123401571881562
FP,DMN,CBL,-0.123361908555556,0.123361908555556
DMN,SAL,CBL,-0.123109907030563,0.123109907030563
Mot,VI,SC,-0.122382267043858,0.122382267043858
FP,VAs,SC,-0.119688469709464,0.119688469709464
MF,VI,CBL,-0.119401165777571,0.119401165777571
DMN,VII,CBL,0.116326082521404,0.116326082521404
MF,SAL,SC,-0.11416310539937,0.11416310539937
VII,VAs,CBL,0.113496265474513,0.113496265474513
MF,VI,VAs,0.110503857072958,0.110503857072958
DMN,VI,CBL,-0.109082294239297,0.109082294239297
VI,VAs,SC,0.108301192910237,0.108301192910237
Mot,VI,CBL,-0.104459429518923,0.104459429518923
FP,Mot,VI,-0.103989867563674,0.103989867563674
FP,VII,VII,0.103175926798513,0.103175926798513
VII,VAs,VAs,0.0998773680756966,0.0998773680756966
MF,VII,CBL,-0.098726960602271,0.098726960602271
MF,FP,CBL,0.0978391189144152,0.0978391189144152
VII,SAL,SAL,-0.0974779733287917,0.0974779733287917
VI,CBL,CBL,-0.097239990331917,0.097239990331917
