Node_A,Node_B,Node_C,M_abc,Abs_M_abc
FP,FP,FP,2.62516653188933,2.62516653188933
Mot,Mot,Mot,-2.59982463060679,2.59982463060679
VII,VII,VII,-2.51645427475738,2.51645427475738
FP,FP,SAL,2.2369354188069,2.2369354188069
FP,FP,VII,-1.80223322823013,1.80223322823013
Mot,Mot,VI,1.50483120227497,1.50483120227497
Mot,VI,SAL,1.48796355819429,1.48796355819429
Mot,Mot,SAL,-1.4452257110647,1.4452257110647
Mot,Mot,CBL,-1.39249814117539,1.39249814117539
VAs,SAL,SAL,1.37693468391075,1.37693468391075
FP,SAL,SAL,1.35568936284634,1.35568936284634
VI,SAL,SAL,1.35221009771562,1.35221009771562
Mot,VAs,SAL,1.3315654223362,1.3315654223362
VII,SAL,SAL,-1.2314806976626,1.2314806976626
FP,VAs,SAL,1.19962585099058,1.19962585099058
FP,Mot,VAs,1.19885318602901,1.19885318602901
Mot,Mot,VAs,1.18468480195815,1.18468480195815
FP,Mot,VI,1.16543180201468,1.16543180201468
FP,FP,VAs,1.15046533654215,1.15046533654215
Mot,Mot,VII,-1.11416949370144,1.11416949370144
FP,FP,DMN,-1.02721661874223,1.02721661874223
FP,VI,SAL,1.00566767486242,1.00566767486242
Mot,VII,SAL,-0.980344387328112,0.980344387328112
VII,VII,SC,0.951815877055159,0.951815877055159
FP,VII,SAL,-0.921705646204045,0.921705646204045
DMN,VII,VII,-0.898260314674471,0.898260314674471
DMN,SAL,SAL,-0.892294213761454,0.892294213761454
FP,FP,Mot,0.853165823544732,0.853165823544732
FP,DMN,SAL,-0.829609022232831,0.829609022232831
FP,FP,VI,0.828196314900363,0.828196314900363
VII,VII,SAL,0.814507521636151,0.814507521636151
Mot,SAL,CBL,-0.796198361453624,0.796198361453624
FP,DMN,Mot,-0.768040974161292,0.768040974161292
Mot,VI,CBL,0.756291782717954,0.756291782717954
DMN,Mot,SAL,-0.756219907076589,0.756219907076589
MF,FP,Mot,-0.751556190261868,0.751556190261868
VI,SAL,CBL,0.676717676369138,0.676717676369138
DMN,VAs,SAL,-0.670596217705461,0.670596217705461
Mot,SAL,SAL,-0.66864093198626,0.66864093198626
VII,VII,CBL,-0.662733636809027,0.662733636809027
VAs,VAs,SAL,0.661485087802581,0.661485087802581
FP,VAs,VAs,0.646128838851504,0.646128838851504
Mot,VII,VII,0.645950894319511,0.645950894319511
FP,VII,CBL,-0.640968049041588,0.640968049041588
MF,FP,SAL,-0.640243429573844,0.640243429573844
MF,FP,VAs,-0.633875740141,0.633875740141
MF,VAs,SAL,-0.626399566951042,0.626399566951042
Mot,CBL,CBL,-0.621991247525085,0.621991247525085
DMN,DMN,SAL,0.611671027109681,0.611671027109681
FP,DMN,VAs,-0.610773199225955,0.610773199225955
MF,SAL,SAL,-0.595196777165041,0.595196777165041
VAs,SAL,CBL,0.593931344044177,0.593931344044177
FP,VII,VII,-0.591335247617136,0.591335247617136
Mot,VAs,CBL,0.586507880057821,0.586507880057821
MF,MF,FP,0.566663185157889,0.566663185157889
MF,FP,DMN,0.562915197509881,0.562915197509881
MF,FP,FP,-0.546237411064811,0.546237411064811
DMN,VII,SAL,0.529719139575759,0.529719139575759
DMN,Mot,VII,0.528210982160904,0.528210982160904
MF,Mot,SAL,-0.526161052102365,0.526161052102365
FP,VAs,CBL,0.525347529179454,0.525347529179454
