Node_A,Node_B,Node_C,M_abc,Abs_M_abc
VII,VII,VII,-2.1051012555277,2.1051012555277
Mot,Mot,Mot,-1.50259355551317,1.50259355551317
MF,Mot,Mot,1.26711872485897,1.26711872485897
FP,FP,FP,1.25583600999785,1.25583600999785
MF,MF,MF,1.25571377229661,1.25571377229661
MF,DMN,DMN,0.995034800061776,0.995034800061776
MF,DMN,Mot,0.859208160899713,0.859208160899713
FP,Mot,Mot,0.856390546427673,0.856390546427673
MF,MF,Mot,-0.836104601911644,0.836104601911644
DMN,Mot,Mot,-0.834566379377928,0.834566379377928
FP,FP,VI,-0.785187013646995,0.785187013646995
VI,VII,VII,-0.7603780100032,0.7603780100032
MF,MF,FP,0.740935327482313,0.740935327482313
MF,FP,Mot,-0.697879524142053,0.697879524142053
DMN,DMN,SAL,-0.665269821613717,0.665269821613717
MF,FP,FP,0.625447501756451,0.625447501756451
Mot,Mot,SAL,-0.6212005133612,0.6212005133612
MF,DMN,VAs,-0.59674365218225,0.59674365218225
DMN,DMN,VAs,-0.594599711114831,0.594599711114831
MF,MF,SAL,-0.587441848086389,0.587441848086389
FP,FP,Mot,-0.552773200521722,0.552773200521722
DMN,VAs,VAs,0.542421080090372,0.542421080090372
Mot,VII,VII,0.54010704018982,0.54010704018982
DMN,DMN,VII,0.527377849838778,0.527377849838778
MF,VII,VII,0.522261245715833,0.522261245715833
FP,VI,VI,0.504270605970608,0.504270605970608
DMN,DMN,DMN,0.502060688973208,0.502060688973208
FP,FP,SC,-0.496954999298606,0.496954999298606
DMN,Mot,SAL,-0.489248710597136,0.489248710597136
VAs,VAs,VAs,-0.46550165729739,0.46550165729739
MF,MF,VI,-0.458049664773207,0.458049664773207
FP,DMN,Mot,0.447135981700916,0.447135981700916
MF,FP,DMN,-0.445942921074933,0.445942921074933
DMN,VII,VAs,-0.442713641719877,0.442713641719877
MF,VAs,VAs,0.438978584121339,0.438978584121339
DMN,VAs,SAL,0.438276628550075,0.438276628550075
MF,FP,VII,-0.39802612347222,0.39802612347222
MF,Mot,SAL,0.39664967761891,0.39664967761891
VII,VII,CBL,-0.376231420869732,0.376231420869732
VII,VAs,VAs,0.375051904584113,0.375051904584113
VI,VI,VI,-0.371674835029009,0.371674835029009
MF,DMN,VII,0.370755945771455,0.370755945771455
MF,SAL,SAL,0.36222215861099,0.36222215861099
MF,VII,SAL,-0.350881575028525,0.350881575028525
FP,VII,VII,0.347017240788124,0.347017240788124
VII,VII,SAL,0.346280458464045,0.346280458464045
VAs,VAs,SAL,-0.335658302452789,0.335658302452789
FP,VI,SC,0.334431248374263,0.334431248374263
FP,Mot,SAL,0.334122229554009,0.334122229554009
MF,VII,VAs,-0.318795249358721,0.318795249358721
MF,Mot,VAs,-0.312721930863329,0.312721930863329
DMN,VII,SAL,-0.31173154608719,0.31173154608719
FP,FP,DMN,-0.296432131066842,0.296432131066842
VII,VAs,SAL,0.286353740870058,0.286353740870058
FP,DMN,VII,-0.281528948673666,0.281528948673666
DMN,DMN,Mot,-0.28095671137201,0.28095671137201
DMN,DMN,VI,-0.272516340106309,0.272516340106309
Mot,Mot,VI,-0.266197741196761,0.266197741196761
FP,FP,CBL,0.26005983595148,0.26005983595148
MF,MF,VAs,-0.245760193319244,0.245760193319244
MF,Mot,SC,0.244329733839439,0.244329733839439
FP,DMN,SAL,0.242401734693062,0.242401734693062
FP,VII,VAs,0.241201882628036,0.241201882628036
MF,DMN,SC,0.240791374260273,0.240791374260273
DMN,Mot,VII,0.236533547722038,0.236533547722038
DMN,VII,SC,0.235947804245725,0.235947804245725
MF,FP,SAL,-0.235909237129939,0.235909237129939
Mot,Mot,SC,-0.233568442530846,0.233568442530846
VI,SAL,SAL,-0.228036433550952,0.228036433550952
FP,SAL,SAL,0.221566192881009,0.221566192881009
MF,FP,VI,-0.211257935956038,0.211257935956038
FP,VI,SAL,-0.206197340973829,0.206197340973829
MF,VAs,SAL,0.204428087603158,0.204428087603158
MF,VII,SC,0.202677651116666,0.202677651116666
MF,FP,SC,-0.202530494594686,0.202530494594686
FP,SC,SC,0.202342513457695,0.202342513457695
Mot,VAs,SAL,0.201121483920519,0.201121483920519
VII,SAL,SC,-0.201109715134804,0.201109715134804
FP,Mot,VI,0.19761451364881,0.19761451364881
VI,VI,SC,-0.197533615417077,0.197533615417077
Mot,VII,SAL,-0.194673311643939,0.194673311643939
VII,VAs,SC,-0.193705313478187,0.193705313478187
VII,SAL,SAL,0.189919657935645,0.189919657935645
DMN,VI,VAs,0.188210892116708,0.188210892116708
MF,VI,VII,0.183769043286829,0.183769043286829
FP,DMN,VI,0.180700707034312,0.180700707034312
