Node_A,Node_B,Node_C,M_abc,Abs_M_abc
FP,FP,SC,0.163736038091836,0.163736038091836
VII,SAL,CBL,0.16133479671991,0.16133479671991
MF,SC,SC,0.15391854467497,0.15391854467497
MF,DMN,VII,0.149315265883246,0.149315265883246
FP,VII,VII,0.135460549836275,0.135460549836275
Mot,VII,VII,0.126530636695336,0.126530636695336
FP,DMN,VII,0.126189480737833,0.126189480737833
FP,SC,SC,0.122660382802911,0.122660382802911
VI,VAs,CBL,0.115897750844597,0.115897750844597
FP,VI,SC,0.114786914622386,0.114786914622386
Mot,VII,SC,0.114587695675592,0.114587695675592
DMN,VI,SAL,0.11343686734191,0.11343686734191
VAs,CBL,CBL,-0.106603977219587,0.106603977219587
FP,VII,SAL,-0.104126665819807,0.104126665819807
VII,VII,SAL,0.102759366322812,0.102759366322812
Mot,VAs,SC,-0.0998057016799591,0.0998057016799591
FP,VI,CBL,0.0977339945015706,0.0977339945015706
VII,SAL,SC,-0.0968655999604594,0.0968655999604594
Mot,Mot,VAs,0.0918844494193701,0.0918844494193701
VI,VAs,SC,0.0880399767507985,0.0880399767507985
Mot,Mot,VII,0.0833803921154128,0.0833803921154128
VAs,SC,SC,-0.0823225378709836,0.0823225378709836
VII,SAL,SAL,-0.0593246326897694,0.0593246326897694
FP,DMN,SAL,-0.0494802295737207,0.0494802295737207
MF,VI,CBL,0.0459769125372413,0.0459769125372413
FP,FP,VII,-0.0431509338242573,0.0431509338242573
VII,VAs,VAs,0.0399823758013915,0.0399823758013915
FP,VAs,SC,0.0371490673967389,0.0371490673967389
MF,VII,VII,0.0371428294974642,0.0371428294974642
FP,DMN,SC,0.0306243746658753,0.0306243746658753
Mot,VII,CBL,0.0291859611751863,0.0291859611751863
Mot,VI,VII,-0.0286076747320114,0.0286076747320114
VAs,SAL,SC,-0.0257504727179142,0.0257504727179142
FP,DMN,Mot,0.0232790073295355,0.0232790073295355
VAs,SAL,CBL,0.0216460756693216,0.0216460756693216
VII,VAs,SC,0.0137804294975336,0.0137804294975336
FP,SC,CBL,0.00882326596141594,0.00882326596141594
MF,VI,SC,0.00847920210823802,0.00847920210823802
