Node_A,Node_B,Node_C,M_abc,Abs_M_abc
MF,MF,MF,-4.05903632549334,4.05903632549334
MF,MF,SAL,2.31765177691604,2.31765177691604
MF,MF,CBL,-1.75449721040386,1.75449721040386
FP,FP,FP,-1.5467536131904,1.5467536131904
FP,FP,Mot,-1.53637587564694,1.53637587564694
Mot,CBL,CBL,-1.36667721972133,1.36667721972133
FP,Mot,CBL,-1.33313281623111,1.33313281623111
DMN,DMN,DMN,1.33008331442929,1.33008331442929
FP,FP,VAs,1.29892848341204,1.29892848341204
FP,VAs,CBL,1.22992503214245,1.22992503214245
MF,SAL,SAL,-1.1892032673156,1.1892032673156
FP,FP,VI,1.12880205371655,1.12880205371655
VAs,CBL,CBL,1.10552239279479,1.10552239279479
FP,FP,CBL,-1.0368744382419,1.0368744382419
MF,MF,Mot,-1.03450960481495,1.03450960481495
MF,MF,DMN,1.01103653823583,1.01103653823583
MF,Mot,CBL,-0.935924172242039,0.935924172242039
SAL,SAL,SAL,0.903924781658321,0.903924781658321
MF,FP,FP,-0.893524967443448,0.893524967443448
MF,DMN,DMN,0.887272864663955,0.887272864663955
FP,VI,CBL,0.885932381560063,0.885932381560063
FP,Mot,VII,-0.87202763709735,0.87202763709735
MF,MF,SC,-0.837781731807376,0.837781731807376
FP,FP,SC,-0.828165421994067,0.828165421994067
DMN,DMN,VAs,-0.822840028082399,0.822840028082399
FP,VII,VAs,0.796806077781866,0.796806077781866
FP,FP,VII,-0.767568486288861,0.767568486288861
MF,SAL,CBL,0.757545584103724,0.757545584103724
MF,SC,CBL,-0.725069798122574,0.725069798122574
MF,FP,Mot,-0.717689011272023,0.717689011272023
FP,Mot,VI,0.7173502454263,0.7173502454263
Mot,VII,CBL,-0.69320302965567,0.69320302965567
FP,VI,VAs,-0.685308391908857,0.685308391908857
MF,CBL,CBL,-0.67985598985568,0.67985598985568
FP,Mot,VAs,0.678617333268488,0.678617333268488
MF,VAs,CBL,0.672241627900593,0.672241627900593
VI,CBL,CBL,0.670367565514205,0.670367565514205
DMN,DMN,SC,0.661781581239814,0.661781581239814
FP,SC,CBL,-0.655294800376819,0.655294800376819
Mot,VI,CBL,0.651991017947024,0.651991017947024
SC,CBL,CBL,-0.645643674224869,0.645643674224869
FP,Mot,Mot,-0.633914535327238,0.633914535327238
FP,VI,VI,-0.63060375161826,0.63060375161826
FP,VI,VII,0.62903917520265,0.62903917520265
Mot,VI,VII,0.61076250060698,0.61076250060698
VII,VAs,CBL,0.60905375652229,0.60905375652229
VI,VAs,CBL,-0.602558871019915,0.602558871019915
Mot,Mot,VII,-0.595728624118689,0.595728624118689
MF,FP,VI,0.586695235806044,0.586695235806044
VII,VAs,VAs,-0.576174649313451,0.576174649313451
SAL,CBL,CBL,0.571000539394416,0.571000539394416
Mot,VII,VAs,0.570114198152728,0.570114198152728
MF,VII,VAs,0.569080710227417,0.569080710227417
VI,VII,VAs,-0.566100432792517,0.566100432792517
MF,Mot,VII,-0.564493763806424,0.564493763806424
VI,VI,CBL,-0.561628245369595,0.561628245369595
MF,FP,VAs,0.552390807899249,0.552390807899249
VAs,VAs,CBL,-0.541202118703202,0.541202118703202
FP,Mot,SC,-0.535784679606843,0.535784679606843
Mot,Mot,CBL,-0.527951940590706,0.527951940590706
VI,VI,VII,-0.527062316496938,0.527062316496938
MF,DMN,SC,0.522764452643487,0.522764452643487
MF,DMN,VAs,-0.515441277515075,0.515441277515075
MF,VI,CBL,0.503726030618541,0.503726030618541
FP,Mot,SAL,-0.500397606780314,0.500397606780314
Mot,VAs,CBL,0.498843694758271,0.498843694758271
Mot,SC,CBL,-0.493444708897468,0.493444708897468
MF,FP,VII,-0.492837536502423,0.492837536502423
FP,VII,SC,-0.487857218302716,0.487857218302716
FP,VI,SC,0.48601077444922,0.48601077444922
DMN,VAs,VAs,0.484999700012672,0.484999700012672
MF,FP,SAL,-0.478088816638083,0.478088816638083
FP,VAs,VAs,-0.477904667175626,0.477904667175626
VAs,SAL,CBL,0.464072562644211,0.464072562644211
VAs,SC,CBL,0.447444167159781,0.447444167159781
MF,VI,VII,0.443462857452287,0.443462857452287
Mot,VII,SAL,-0.439233438590048,0.439233438590048
Mot,SAL,CBL,-0.433115561350668,0.433115561350668
MF,SAL,SC,0.431436457188529,0.431436457188529
Mot,Mot,Mot,-0.429957396986664,0.429957396986664
MF,Mot,SC,-0.425458560936477,0.425458560936477
VI,SC,CBL,0.414121963006701,0.414121963006701
FP,VII,CBL,-0.41333442033163,0.41333442033163
Mot,VAs,VAs,-0.41122209508154,0.41122209508154
VI,VII,CBL,0.40923486464658,0.40923486464658
VII,VAs,SC,0.407909146836626,0.407909146836626
Mot,VII,SC,-0.403500998200109,0.403500998200109
FP,VAs,SAL,0.398839274150079,0.398839274150079
MF,MF,FP,0.398003345547652,0.398003345547652
SC,SC,CBL,-0.39479730494187,0.39479730494187
DMN,VAs,SC,-0.382336794936372,0.382336794936372
FP,VAs,SC,0.381722546819306,0.381722546819306
VII,VAs,SAL,0.371187781876061,0.371187781876061
VI,VII,SC,0.364009969055406,0.364009969055406
MF,FP,CBL,-0.363505943944335,0.363505943944335
VII,VII,VII,-0.360672899388303,0.360672899388303
Mot,Mot,VAs,0.350480139037548,0.350480139037548
FP,DMN,DMN,0.349354546107253,0.349354546107253
DMN,SC,SC,0.332297686525217,0.332297686525217
FP,CBL,CBL,-0.323397131849551,0.323397131849551
FP,SAL,SAL,0.320217521429143,0.320217521429143
VII,SC,CBL,-0.31740655633639,0.31740655633639
MF,VII,SC,-0.310263017517078,0.310263017517078
Mot,SAL,SAL,-0.30548933992432,0.30548933992432
MF,MF,VI,0.303372453236316,0.303372453236316
MF,Mot,VAs,0.301197395481891,0.301197395481891
SAL,SAL,SC,-0.299552119425378,0.299552119425378
Mot,VAs,SC,0.296757751366167,0.296757751366167
FP,SAL,SC,-0.294392257556554,0.294392257556554
MF,Mot,Mot,-0.291579261375329,0.291579261375329
MF,VI,VAs,-0.289375289158002,0.289375289158002
Mot,Mot,VI,0.286786326898723,0.286786326898723
