Node_A,Node_B,Node_C,M_abc,Abs_M_abc
MF,MF,MF,14.926363853506,14.926363853506
DMN,DMN,DMN,9.74719074315014,9.74719074315014
Mot,Mot,Mot,8.11184210807237,8.11184210807237
MF,MF,Mot,8.03016483056399,8.03016483056399
MF,MF,CBL,5.99909063101649,5.99909063101649
Mot,Mot,CBL,3.97394120030505,3.97394120030505
MF,MF,FP,-3.51825326742519,3.51825326742519
DMN,Mot,Mot,3.31609363433985,3.31609363433985
Mot,Mot,VI,-2.90294680116596,2.90294680116596
MF,MF,SAL,-2.72967326321461,2.72967326321461
MF,MF,DMN,2.63189826545575,2.63189826545575
MF,Mot,CBL,2.60356931627768,2.60356931627768
DMN,DMN,SC,2.48141044254746,2.48141044254746
Mot,Mot,SC,2.44179378206813,2.44179378206813
MF,CBL,CBL,2.34168273514777,2.34168273514777
Mot,CBL,CBL,2.22689036947194,2.22689036947194
MF,Mot,Mot,2.14752363031724,2.14752363031724
Mot,Mot,VAs,-2.05273206775397,2.05273206775397
MF,MF,VAs,2.01396928833295,2.01396928833295
DMN,DMN,SAL,-1.98769083168439,1.98769083168439
Mot,Mot,SAL,1.94114601565592,1.94114601565592
DMN,Mot,CBL,1.91780361279319,1.91780361279319
MF,MF,SC,1.90549307022371,1.90549307022371
DMN,DMN,Mot,1.90172385744792,1.90172385744792
DMN,DMN,CBL,1.84756579038188,1.84756579038188
MF,DMN,DMN,1.83370522450747,1.83370522450747
MF,FP,FP,1.69453752550665,1.69453752550665
FP,FP,Mot,1.64667628983818,1.64667628983818
MF,FP,SAL,1.64148049493249,1.64148049493249
MF,FP,VAs,-1.63517230805915,1.63517230805915
MF,DMN,Mot,1.61085958687444,1.61085958687444
MF,Mot,SC,1.54069936335236,1.54069936335236
Mot,SC,CBL,1.46060675082255,1.46060675082255
DMN,Mot,SC,1.38903126602114,1.38903126602114
CBL,CBL,CBL,1.38781593744319,1.38781593744319
FP,FP,DMN,1.37802336734905,1.37802336734905
DMN,DMN,VI,-1.34700635181791,1.34700635181791
Mot,VI,CBL,-1.29732054397184,1.29732054397184
FP,DMN,DMN,-1.28887496467577,1.28887496467577
MF,DMN,CBL,1.27844493829685,1.27844493829685
MF,MF,VI,-1.27109709651262,1.27109709651262
DMN,CBL,CBL,1.24633392898377,1.24633392898377
Mot,SC,SC,1.11864847784897,1.11864847784897
DMN,SAL,SAL,1.11098668274828,1.11098668274828
MF,MF,VII,1.0932813719083,1.0932813719083
MF,SAL,SAL,1.09073624887021,1.09073624887021
MF,SC,CBL,1.08756011216807,1.08756011216807
Mot,SAL,SAL,1.05575346651448,1.05575346651448
MF,VAs,VAs,1.03570180648687,1.03570180648687
Mot,VAs,SAL,-1.03071942611934,1.03071942611934
MF,DMN,SC,1.02528787240506,1.02528787240506
FP,DMN,SAL,0.98156003077099,0.98156003077099
DMN,SC,SC,0.980947764621511,0.980947764621511
DMN,SC,CBL,0.978507433471215,0.978507433471215
MF,Mot,SAL,-0.961883411450792,0.961883411450792
Mot,VAs,CBL,-0.953329257249093,0.953329257249093
FP,FP,CBL,0.94723271214961,0.94723271214961
Mot,VI,VI,0.936342205283715,0.936342205283715
DMN,Mot,VI,-0.927600983318423,0.927600983318423
SC,CBL,CBL,0.916433814090071,0.916433814090071
Mot,VI,SAL,-0.907942395583618,0.907942395583618
DMN,Mot,VAs,-0.905180716723389,0.905180716723389
FP,Mot,SC,0.90218757195331,0.90218757195331
MF,FP,VI,-0.893720808696038,0.893720808696038
MF,VAs,SAL,-0.892105833322038,0.892105833322038
DMN,Mot,SAL,0.848422770107483,0.848422770107483
FP,DMN,Mot,0.822441365663297,0.822441365663297
Mot,Mot,VII,-0.807105929704138,0.807105929704138
Mot,VAs,VAs,0.792216829863963,0.792216829863963
MF,SAL,CBL,-0.78275285902105,0.78275285902105
FP,FP,VI,-0.770677407821599,0.770677407821599
FP,Mot,SAL,0.770443218436416,0.770443218436416
MF,SC,SC,0.764094640539383,0.764094640539383
FP,SAL,CBL,0.757107527721062,0.757107527721062
Mot,VAs,SC,-0.755158159212976,0.755158159212976
MF,FP,VII,-0.749955991795466,0.749955991795466
FP,FP,SC,0.733893349453752,0.733893349453752
SC,SC,CBL,0.70721214527392,0.70721214527392
Mot,SAL,CBL,0.698684109147569,0.698684109147569
SAL,SAL,CBL,0.697182145444718,0.697182145444718
VI,CBL,CBL,-0.688833720387104,0.688833720387104
Mot,VI,SC,-0.67457930619732,0.67457930619732
FP,Mot,CBL,0.670628586861043,0.670628586861043
MF,FP,Mot,0.669803086226485,0.669803086226485
Mot,SAL,SC,0.669347769935808,0.669347769935808
DMN,DMN,VAs,-0.669015113411767,0.669015113411767
VAs,SAL,CBL,-0.662904751817168,0.662904751817168
FP,Mot,Mot,0.651923070451702,0.651923070451702
FP,Mot,VAs,-0.646551022253196,0.646551022253196
Mot,VI,VAs,0.62034005549614,0.62034005549614
VI,VI,VI,-0.619303172321896,0.619303172321896
MF,Mot,VAs,0.611999068320816,0.611999068320816
SC,SC,SC,0.610899512010803,0.610899512010803
MF,VAs,CBL,0.607211658898871,0.607211658898871
FP,DMN,VAs,-0.573350260808758,0.573350260808758
DMN,VI,SC,-0.535725868274647,0.535725868274647
MF,VII,VAs,0.530014455075541,0.530014455075541
DMN,VI,CBL,-0.522338943418706,0.522338943418706
FP,SAL,SC,0.504942749742772,0.504942749742772
FP,SC,CBL,0.501476558358237,0.501476558358237
DMN,VAs,VAs,0.499610375448957,0.499610375448957
FP,FP,VAs,-0.499180828250544,0.499180828250544
FP,VAs,CBL,-0.494839799266142,0.494839799266142
MF,FP,DMN,0.490384989181395,0.490384989181395
MF,VII,SAL,-0.488609046586362,0.488609046586362
DMN,VAs,SC,-0.480991082101338,0.480991082101338
DMN,VI,VI,0.477715221448606,0.477715221448606
DMN,VAs,CBL,-0.464072337860847,0.464072337860847
MF,Mot,VI,0.454448122238177,0.454448122238177
VAs,VAs,CBL,0.45298566232566,0.45298566232566
VAs,CBL,CBL,-0.45060904262386,0.45060904262386
Mot,VII,SAL,-0.447710641072299,0.447710641072299
FP,SC,SC,0.44529867823164,0.44529867823164
FP,VAs,SC,-0.443643162451165,0.443643162451165
SAL,SAL,SC,0.443616715447186,0.443616715447186
VI,VI,VAs,-0.439645726128176,0.439645726128176
MF,FP,SC,0.437310403982892,0.437310403982892
