Node_A,Node_B,Node_C,M_abc,Abs_M_abc
VII,VII,VII,4.47323286686154,4.47323286686154
DMN,DMN,DMN,4.10770323339671,4.10770323339671
VII,VAs,VAs,3.97795719525709,3.97795719525709
VII,VII,VAs,-3.85537175015219,3.85537175015219
VAs,VAs,VAs,-3.69254746011035,3.69254746011035
Mot,Mot,Mot,-3.52556947742941,3.52556947742941
DMN,DMN,VAs,-2.4580568275335,2.4580568275335
Mot,Mot,SAL,-2.35594431276135,2.35594431276135
FP,DMN,DMN,-2.35569127728754,2.35569127728754
DMN,VII,VII,-2.26897906847715,2.26897906847715
DMN,VII,VAs,2.04852185035348,2.04852185035348
VI,VAs,VAs,2.01993491918386,2.01993491918386
VI,VII,VII,1.96227807186167,1.96227807186167
VI,VII,VAs,-1.83285371658924,1.83285371658924
DMN,VAs,VAs,-1.78528187033526,1.78528187033526
Mot,SAL,SAL,-1.67038020466021,1.67038020466021
Mot,Mot,SC,-1.63851050365474,1.63851050365474
Mot,VII,VII,-1.60079703331504,1.60079703331504
DMN,DMN,VII,1.47089762255847,1.47089762255847
DMN,VI,VAs,1.35030648108213,1.35030648108213
Mot,Mot,CBL,-1.325755163277,1.325755163277
SAL,SAL,SAL,-1.23135131074899,1.23135131074899
DMN,VI,VII,-1.20254965677956,1.20254965677956
Mot,VII,VAs,1.19415675399893,1.19415675399893
VI,VI,VII,1.1651583488987,1.1651583488987
Mot,SAL,CBL,-1.14211676542562,1.14211676542562
Mot,SAL,SC,-1.12631816897437,1.12631816897437
FP,VAs,VAs,-1.05769933438652,1.05769933438652
Mot,CBL,CBL,-1.03288966273355,1.03288966273355
VII,VAs,CBL,0.945567193266498,0.945567193266498
Mot,VAs,VAs,-0.938241749694098,0.938241749694098
DMN,DMN,SAL,-0.923722375806576,0.923722375806576
VII,VII,SAL,-0.912522914656928,0.912522914656928
SAL,SAL,CBL,-0.889691893222727,0.889691893222727
VI,VI,VAs,-0.881963243598754,0.881963243598754
DMN,Mot,Mot,-0.869442934645187,0.869442934645187
FP,VII,VII,-0.853250638532984,0.853250638532984
FP,FP,DMN,0.819037907991606,0.819037907991606
SAL,SAL,SC,-0.800786265863494,0.800786265863494
Mot,SC,SC,-0.799230693490381,0.799230693490381
FP,DMN,VI,0.757142159934433,0.757142159934433
VAs,VAs,CBL,-0.755199147634281,0.755199147634281
MF,VII,VII,-0.752210645565719,0.752210645565719
VII,VAs,SAL,0.746200990971346,0.746200990971346
SAL,CBL,CBL,-0.745744457454788,0.745744457454788
VAs,VAs,SAL,-0.719283071179332,0.719283071179332
VII,VII,CBL,-0.7051139397764,0.7051139397764
Mot,VI,VAs,0.700970881788815,0.700970881788815
Mot,Mot,VI,-0.697452644308838,0.697452644308838
FP,FP,FP,-0.687830989640396,0.687830989640396
Mot,SC,CBL,-0.668476294502055,0.668476294502055
FP,VII,VAs,0.633461354726985,0.633461354726985
DMN,DMN,SC,0.619893949914797,0.619893949914797
DMN,Mot,VAs,-0.610818773802078,0.610818773802078
DMN,VAs,CBL,-0.58997431540856,0.58997431540856
DMN,Mot,SAL,-0.589036919711272,0.589036919711272
VI,VAs,CBL,0.574186088871748,0.574186088871748
SAL,SC,SC,-0.572240006743709,0.572240006743709
DMN,Mot,VII,0.571639664306831,0.571639664306831
MF,DMN,DMN,0.567172780373507,0.567172780373507
VI,VI,VI,0.566325829441994,0.566325829441994
SAL,SC,CBL,-0.566287357183737,0.566287357183737
Mot,Mot,VII,0.561783574730384,0.561783574730384
DMN,DMN,VI,-0.548098438854076,0.548098438854076
MF,Mot,VII,0.528403927034038,0.528403927034038
VI,VII,CBL,-0.518811958147894,0.518811958147894
MF,Mot,CBL,0.514055944538832,0.514055944538832
Mot,VI,SAL,-0.513523961610716,0.513523961610716
FP,VI,VI,-0.499411739390471,0.499411739390471
CBL,CBL,CBL,-0.493449477810322,0.493449477810322
FP,VI,VII,-0.478324026395871,0.478324026395871
SC,CBL,CBL,-0.472537349773035,0.472537349773035
DMN,Mot,CBL,-0.453580029095646,0.453580029095646
MF,VAs,VAs,-0.446048141467124,0.446048141467124
Mot,VI,SC,-0.436546943514338,0.436546943514338
DMN,DMN,Mot,-0.429198998715748,0.429198998715748
Mot,VI,VII,-0.428879043260824,0.428879043260824
DMN,VII,CBL,0.42367590882956,0.42367590882956
MF,MF,Mot,-0.41711351768943,0.41711351768943
Mot,VI,VI,-0.400758640647022,0.400758640647022
VI,SAL,SAL,-0.39908262485589,0.39908262485589
MF,MF,VII,0.387738460883577,0.387738460883577
DMN,VI,VI,-0.383972751255595,0.383972751255595
DMN,SAL,CBL,-0.381466561666494,0.381466561666494
VI,VII,SAL,-0.379555067008489,0.379555067008489
SC,SC,SC,-0.378721399034725,0.378721399034725
MF,FP,DMN,-0.376818896547814,0.376818896547814
VI,VI,SAL,-0.366563447242536,0.366563447242536
VI,VAs,SAL,0.358774252441597,0.358774252441597
MF,SAL,SAL,0.353804596843906,0.353804596843906
MF,Mot,SAL,0.353108182250782,0.353108182250782
SC,SC,CBL,-0.351528108322824,0.351528108322824
FP,Mot,VAs,-0.34489356665867,0.34489356665867
FP,FP,VII,0.343935009683781,0.343935009683781
MF,DMN,VAs,-0.340038580037518,0.340038580037518
DMN,SAL,SAL,-0.336551157200171,0.336551157200171
MF,SAL,CBL,0.33290127105284,0.33290127105284
