Node_A,Node_B,Node_C,M_abc,Abs_M_abc
Mot,Mot,Mot,5.78903523231997,5.78903523231997
Mot,VAs,VAs,2.70989105911282,2.70989105911282
Mot,VI,VI,2.23138403621973,2.23138403621973
Mot,VI,VAs,1.64487394931971,1.64487394931971
MF,Mot,Mot,1.54328360687589,1.54328360687589
FP,Mot,Mot,1.45743195037263,1.45743195037263
VAs,VAs,VAs,-1.23197321330656,1.23197321330656
Mot,VI,VII,-1.21016808024881,1.21016808024881
Mot,Mot,VII,-1.1618136151064,1.1618136151064
DMN,Mot,Mot,1.09877705594144,1.09877705594144
Mot,Mot,VAs,-1.09710940231928,1.09710940231928
VI,VI,VAs,-0.928079061564951,0.928079061564951
Mot,VII,VII,0.904969035170117,0.904969035170117
FP,Mot,VAs,-0.873823580561799,0.873823580561799
DMN,VAs,VAs,0.860822561584633,0.860822561584633
FP,FP,Mot,0.806223501899225,0.806223501899225
Mot,SAL,SAL,0.790440051459024,0.790440051459024
DMN,Mot,VAs,-0.725648527750533,0.725648527750533
MF,MF,Mot,0.669479488880415,0.669479488880415
Mot,VAs,SC,-0.661578109227264,0.661578109227264
VI,VI,VI,-0.639512978527061,0.639512978527061
MF,Mot,VII,-0.625201297556939,0.625201297556939
Mot,Mot,SAL,0.616116778847046,0.616116778847046
DMN,VI,VI,0.598350657315999,0.598350657315999
MF,VAs,VAs,0.593091853428221,0.593091853428221
FP,VI,VI,0.59234344605308,0.59234344605308
Mot,VI,CBL,-0.533573862759827,0.533573862759827
DMN,DMN,Mot,0.514660632255653,0.514660632255653
Mot,VI,SAL,0.514619952342056,0.514619952342056
DMN,VI,VAs,0.487425055295129,0.487425055295129
Mot,VII,VAs,-0.482612281941054,0.482612281941054
Mot,VAs,CBL,-0.469156499608515,0.469156499608515
Mot,Mot,VI,0.466228842895727,0.466228842895727
MF,Mot,VI,0.464909768916447,0.464909768916447
VI,SAL,SAL,0.445631675526012,0.445631675526012
FP,Mot,VI,-0.443095062048828,0.443095062048828
MF,FP,Mot,0.432567371611093,0.432567371611093
FP,VI,VAs,0.417113759986586,0.417113759986586
VI,VAs,VAs,-0.415738851584553,0.415738851584553
Mot,VII,CBL,0.402763667179668,0.402763667179668
VAs,VAs,SC,0.391535668894727,0.391535668894727
FP,DMN,Mot,0.386164888473688,0.386164888473688
DMN,Mot,VI,-0.383297793247618,0.383297793247618
MF,DMN,Mot,0.382824159529714,0.382824159529714
MF,VI,VI,0.377838252366094,0.377838252366094
VAs,SAL,SAL,0.362935500775082,0.362935500775082
FP,DMN,VAs,-0.3512698092519,0.3512698092519
SAL,SAL,SAL,0.349619889862816,0.349619889862816
Mot,VI,SC,-0.344903660039465,0.344903660039465
FP,VAs,VAs,0.343807319514694,0.343807319514694
MF,VII,VII,0.336913728097592,0.336913728097592
VI,VII,VAs,0.333816876221594,0.333816876221594
MF,VI,VII,-0.333574665926986,0.333574665926986
Mot,SC,SC,0.329736655636574,0.329736655636574
DMN,VI,VII,-0.325852458604234,0.325852458604234
VII,VII,VII,-0.315665806989426,0.315665806989426
Mot,CBL,CBL,0.30872284083723,0.30872284083723
MF,Mot,VAs,-0.307414255267087,0.307414255267087
MF,MF,VII,-0.305660300424584,0.305660300424584
MF,MF,MF,0.303782520653635,0.303782520653635
DMN,Mot,SAL,-0.281442654618177,0.281442654618177
VII,VAs,SAL,0.273433710261491,0.273433710261491
MF,MF,VI,0.268861072428595,0.268861072428595
FP,VI,VII,-0.266137422118859,0.266137422118859
VII,VAs,VAs,-0.263517451863818,0.263517451863818
MF,Mot,CBL,-0.256237221385807,0.256237221385807
VAs,SAL,CBL,0.24806417004064,0.24806417004064
FP,DMN,VI,-0.244493940403031,0.244493940403031
DMN,VAs,CBL,-0.240145966226591,0.240145966226591
FP,FP,DMN,0.239759398146052,0.239759398146052
VI,VAs,SAL,-0.236572727462809,0.236572727462809
DMN,VII,VII,0.232051534001586,0.232051534001586
MF,VAs,SC,-0.231941583016663,0.231941583016663
DMN,VI,CBL,-0.231916952032637,0.231916952032637
DMN,VAs,SAL,-0.227990341684141,0.227990341684141
